작가명,작가 영문명,작품명,분류,경로 분류,수집년도,소장 미술관,활동국가,국적
갈라 포라스 김,Gala Porras-Kim,La Mojarra Stela and its shapes,설치,복합,2020,휘트니 미술관,"로스엔젤레스, 런던, 콜롬비아",
갈라 포라스 김,Gala Porras-Kim,La Mojarra Stela negative space,설치,공공기부,2020,휘트니 미술관,"로스엔젤레스, 런던, 콜롬비아",
갈라 포라스-김,Gala Porras-Kim,13 International Dogs,회화,공공기부,2019,브루클린 미술관,"로스엔젤레스, 런던, 콜롬비아",
강익중,Ik-Joong Kang,1392 Moon Jars (Wind),설치,민간기증,2010,구겐하임,미국,
강익중,Ik-Joong Kang,Throw Everything Together and Add,설치,공공기부,1997,휘트니 미술관,미국,
구정아,Koo Jeong-A,Oslo,설치,민간기부,2003,구겐하임,한국,
구정아 외,"Koo Jeong-a(Various Artists with Lucy McKenzie, Julie Mehretu, Yang Fudong, Koo Jeong-a)",Parkett no. 76,도서,공공기증,2006,뉴욕현대미술관,한국,
구정아 외,"Koo Jeong-a(Various Artists with Anne Collier, Koo Jeong-a, Ernesto Neto, Olaf Nicolai, Rebecca Warren)",Parkett no. 78,도서,공공기증,2007,뉴욕현대미술관,한국,
구정아 외,"Koo Jeong-a(Various Artists with Trisha Donnelly, Carsten Höller, Koo Jeong-a, Rudolf Stingel)",Parkett no. 77,도서,공공기증,2006,뉴욕현대미술관,한국,
권성옥,Kwon Sung Ok,Old Recollections,판화,공공기부,1983,브루클린 미술관,,
"김 오김 우, 제레미델러","Jeremy Deller, Okim Woo Kim",Untitled (Lying Pose) from Iggy Pop Life Class by Jeremy Deller,현대미술,-,2016,브루클린 미술관,미국,
"김 오김 우, 제레미델러","Jeremy Deller, Okim Woo Kim",Untitled (Two Poses: Standing and Sitting) from Iggy Pop Life Class by Jeremy Deller,현대미술,-,2016,브루클린 미술관,미국,
"김 오김 우, 제레미델러","Jeremy Deller, Okim Woo Kim",Untitled (Seated Pose) from Iggy Pop Life Class by Jeremy Deller,현대미술,-,2016,브루클린 미술관,미국,
"김 오김 우, 제레미델러","Jeremy Deller, Okim Woo Kim",Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,현대미술,-,2016,브루클린 미술관,미국,
김규진,Kim Gyu-jin,Bamboo with Rocks,회화,민간기금,2006,허버트 존슨 미술관,한국,
김근중,Keun-Joong Kim,Natural Being I,회화,민간기증,1995,메트로폴리탄,,
김기창,Kim Kichang,Plum Blossoms and Birds,회화,민간기증,2004,허버트 존슨 미술관,한국,
김대원,Kim Dae Won,Idle Day,회화,민간기금,2003,허버트 존슨 미술관,,
김민정,Minjung Kim,Story,회화,작가기증,2023,메트로폴리탄,한국,
김민정,Minjung Kim,Story,회화,민간기금,2015,허버트 존슨 미술관,한국,
김범,Kim Beom,Untitled (Intimate Suffering #11),회화,공공기부,2012,뉴욕현대미술관,한국,
김범,Kim Beom,Untitled (Water from Ganges River in the Cup Made with Newspaper from Congo),판화,민간기부,2018,뉴욕현대미술관,한국,
김범,Kim Beom,Untitled (Front Toe of Lion Standing on a Miniature Axe That Was Lost by a Tourist from Hawaii),판화,민간기부,2018,뉴욕현대미술관,한국,
김범,Kim Beom,Untitled (Wrongfully Made Barber's Chair),판화,민간기부,2018,뉴욕현대미술관,한국,
김범,Kim Beom,Untitled (Tongue of a Camel Tasting Rock Salt at a Construction Spot in Egypt),판화,민간기부,2018,뉴욕현대미술관,한국,
김범,Kim Beom,Untitled (A Bud Who Got a Package and Trying to Read the Name of Sender),판화,민간기부,2018,뉴욕현대미술관,한국,
김범,Kim Beom,Untitled (Nose of a Pig Smells Accelerator),판화,민간기부,2018,뉴욕현대미술관,한국,
김범,Kim Beom,Untitled (A Man in Subway Talking with His Fist the Dot at the Top Right Is Nothing),판화,민간기부,2018,뉴욕현대미술관,한국,
김범,Kim Beom,Untitled (A Bud with 2 New Leaves),판화,민간기부,2018,뉴욕현대미술관,한국,
김범,Kim Beom,Untitled (A Manta and Its Shadow),판화,민간기부,2018,뉴욕현대미술관,한국,
김범,Kim Beom,"Untitled (A Cloud at the Top Left, Right Side a Swallow Head, Bottom Left a Bridge)",판화,민간기부,2018,뉴욕현대미술관,한국,
김범,Kim Beom,Untitled (An Old Arrow Sign After Volcano Eruption),판화,민간기부,2018,뉴욕현대미술관,한국,
김범,Kim Beom,Untitled,판화,민간기부,2018,뉴욕현대미술관,한국,
김보현,Po Kim,Walnuts,회화,민간기증,2024,메트로폴리탄,,
김보현,Po Kim,Vessel,판화,민간 기증,1977,시카고 미술관,,
김성자,Kim Sung Ja,Calligraphy,서예,민간기증,2001,허버트 존슨 미술관,,
김성환,Sung Hwan Kim,Temper Clay,미디어,공공기부,2013,뉴욕현대미술관,,
김용진,Kim Yong-jin,Orchid and Rock,회화,민간기증,2004,허버트 존슨 미술관,,
김은호,Kim Eun-ho,Swimming Carp,회화,민간기증,2004,허버트 존슨 미술관,,
김응원,Kim Eung-won,AAM 010,회화,민간 기금,2006,시카고 미술관,,
김종견,Kim Chong-kyon,Planting Rice,회화,민간기증,2004,허버트 존슨 미술관,,
김차섭,Tchah-Sup Kim,Hand,회화,민간기증,1995,메트로폴리탄,,
김차섭,Tchah-Sup Kim,Between Infinites 6,판화,공공기부,1977,브루클린 미술관,,
김훈,Kim Foon,March (from a series dealing with the seasons),판화,민간기증,1970,허버트 존슨 미술관,,
김훈,Kim Foon,Unihaha,회화,민간기증,2018,허버트 존슨 미술관,,
니키 리,Nikki S. Lee,The Ohio Project (8),사진,작가기증,2000,메트로폴리탄,미국,
니키 리,Nikki S. Lee,The Hip Hop Project (1),사진,민간기증,2003,구겐하임,미국,
니키 리,Nikki S. Lee,The Seniors Project (14),사진,민간기증,2003,구겐하임,미국,
니키 리,Nikki S. Lee,The Yuppie Project (4),사진,민간기증,2003,구겐하임,미국,
니키 리,Nikki S. Lee,The Tourists Project (9),사진,민간기증,2003,구겐하임,미국,
니키 리,Nikki S. Lee,The Punk Project (6),사진,민간기증,2001,구겐하임,미국,
니키 리,Nikki S. Lee,The Hip Hop Project (2),사진,민간기금,2007,허버트 존슨 미술관,미국,
니키 리,Nikki S. Lee,AAM 002,사진,공공 기금,2008,시카고 미술관,미국,
니키 리,Nikki S. Lee,AAM 001,사진,민간 기증,2008,시카고 미술관,미국,
마이클 주,Michael Joo,Salt Transfer Cycle,미디어아트,민간기증,2010,휘트니 미술관,,
민영순,Yong Soon Min,Talking Herstory,회화,민간기부,1994,뉴욕현대미술관,미국,
민영순,Yong Soon Min,"Back to the Future, from the installation Geography of Desire",판화,민간기증,2022,브루클린 미술관,미국,
바이런 김,Byron Kim,Sunday Painting 2/18/07,회화,공공기증,2011,브루클린 미술관,미국,
바이런 김,Byron Kim,Sunday Painting 6/1/10,회화,공공기증,2011,브루클린 미술관,미국,
바이런 김,Byron Kim,Sunday Painting 8/16/10,회화,공공기증,2011,브루클린 미술관,미국,
바이런 김,Byron Kim,Sunday Painting 1/2/11,회화,공공기증,2011,브루클린 미술관,미국,
