"keyword","period","searchVolume"
"루이비통 쿠사마 야요이","2022-12-01","60"
"루이비통 쿠사마 야요이","2022-12-02","30"
"루이비통 쿠사마 야요이","2022-12-03","20"
"루이비통 쿠사마 야요이","2022-12-04","30"
"루이비통 쿠사마 야요이","2022-12-05","20"
"루이비통 쿠사마 야요이","2022-12-06","30"
"루이비통 쿠사마 야요이","2022-12-07","30"
"루이비통 쿠사마 야요이","2022-12-08","0"
"루이비통 쿠사마 야요이","2022-12-09","10"
"루이비통 쿠사마 야요이","2022-12-10","10"
"루이비통 쿠사마 야요이","2022-12-11","20"
"루이비통 쿠사마 야요이","2022-12-12","10"
"루이비통 쿠사마 야요이","2022-12-13","20"
"루이비통 쿠사마 야요이","2022-12-14","10"
"루이비통 쿠사마 야요이","2022-12-15","10"
"루이비통 쿠사마 야요이","2022-12-16","0"
"루이비통 쿠사마 야요이","2022-12-17","10"
"루이비통 쿠사마 야요이","2022-12-18","10"
"루이비통 쿠사마 야요이","2022-12-19","10"
"루이비통 쿠사마 야요이","2022-12-20","10"
"루이비통 쿠사마 야요이","2022-12-21","50"
"루이비통 쿠사마 야요이","2022-12-22","70"
"루이비통 쿠사마 야요이","2022-12-23","60"
"루이비통 쿠사마 야요이","2022-12-24","60"
"루이비통 쿠사마 야요이","2022-12-25","50"
"루이비통 쿠사마 야요이","2022-12-26","60"
"루이비통 쿠사마 야요이","2022-12-27","60"
"루이비통 쿠사마 야요이","2022-12-28","60"
"루이비통 쿠사마 야요이","2022-12-29","60"
"루이비통 쿠사마 야요이","2022-12-30","70"
"루이비통 쿠사마 야요이","2022-12-31","90"
"루이비통 쿠사마 야요이","2023-01-01","60"
"루이비통 쿠사마 야요이","2023-01-02","90"
"루이비통 쿠사마 야요이","2023-01-03","80"
"루이비통 쿠사마 야요이","2023-01-04","120"
"루이비통 쿠사마 야요이","2023-01-05","170"
"루이비통 쿠사마 야요이","2023-01-06","360"
"루이비통 쿠사마 야요이","2023-01-07","350"
"루이비통 쿠사마 야요이","2023-01-08","340"
"루이비통 쿠사마 야요이","2023-01-09","320"
"루이비통 쿠사마 야요이","2023-01-10","250"
"루이비통 쿠사마 야요이","2023-01-11","190"
"루이비통 쿠사마 야요이","2023-01-12","210"
"루이비통 쿠사마 야요이","2023-01-13","180"
