"keyword","period","searchVolume"
"리처드 세라","2021-01-24","0"
"리처드 세라","2021-01-25","0"
"리처드 세라","2021-01-26","0"
"리처드 세라","2021-01-27","10"
"리처드 세라","2021-01-28","0"
"리처드 세라","2021-01-29","0"
"리처드 세라","2021-01-30","0"
"리처드 세라","2021-01-31","0"
"리처드 세라","2021-02-01","0"
"리처드 세라","2021-02-02","0"
"리처드 세라","2021-02-03","0"
"리처드 세라","2021-02-04","0"
"리처드 세라","2021-02-05","10"
"리처드 세라","2021-02-06","0"
"리처드 세라","2021-02-07","0"
"리처드 세라","2021-02-08","10"
"리처드 세라","2021-02-09","0"
"리처드 세라","2021-02-10","0"
"리처드 세라","2021-02-11","0"
"리처드 세라","2021-02-12","0"
"리처드 세라","2021-02-13","10"
"리처드 세라","2021-02-14","10"
"리처드 세라","2021-02-15","10"
"리처드 세라","2021-02-16","10"
"리처드 세라","2021-02-17","0"
"리처드 세라","2021-02-18","0"
"리처드 세라","2021-02-19","0"
"리처드 세라","2021-02-20","0"
"리처드 세라","2021-02-21","0"
"리처드 세라","2021-02-22","0"
"리처드 세라","2021-02-23","10"
"리처드 세라","2021-02-24","0"
"리처드 세라","2021-02-25","0"
"리처드 세라","2021-02-26","0"
"리처드 세라","2021-02-27","0"
"리처드 세라","2021-02-28","0"
"리처드 세라","2021-03-01","0"
"리처드 세라","2021-03-02","20"
"리처드 세라","2021-03-03","0"
"리처드 세라","2021-03-04","0"
"리처드 세라","2021-03-05","10"
"리처드 세라","2021-03-06","30"
"리처드 세라","2021-03-07","20"
"리처드 세라","2021-03-08","10"
"리처드 세라","2021-03-09","30"
"리처드 세라","2021-03-10","20"
"리처드 세라","2021-03-11","0"
"리처드 세라","2021-03-12","10"
"리처드 세라","2021-03-13","0"
"리처드 세라","2021-03-14","0"
"리처드 세라","2021-03-15","10"
"리처드 세라","2021-03-16","20"
"리처드 세라","2021-03-17","20"
"리처드 세라","2021-03-18","20"
"리처드 세라","2021-03-19","10"
"리처드 세라","2021-03-20","0"
"리처드 세라","2021-03-21","10"
"리처드 세라","2021-03-22","20"
"리처드 세라","2021-03-23","20"
"리처드 세라","2021-03-24","20"
"리처드 세라","2021-03-25","10"
"리처드 세라","2021-03-26","20"
"리처드 세라","2021-03-27","0"
"리처드 세라","2021-03-28","0"
"리처드 세라","2021-03-29","10"
"리처드 세라","2021-03-30","10"
"리처드 세라","2021-03-31","0"
"리처드 세라","2021-04-01","20"
"리처드 세라","2021-04-02","10"
"리처드 세라","2021-04-03","10"
"리처드 세라","2021-04-04","10"
"리처드 세라","2021-04-05","20"
"리처드 세라","2021-04-06","10"
"리처드 세라","2021-04-07","0"
"리처드 세라","2021-04-08","20"
"리처드 세라","2021-04-09","20"
"리처드 세라","2021-04-10","10"
"리처드 세라","2021-04-11","0"
"리처드 세라","2021-04-12","20"
"리처드 세라","2021-04-13","30"
"리처드 세라","2021-04-14","20"
"리처드 세라","2021-04-15","30"
"리처드 세라","2021-04-16","10"
"리처드 세라","2021-04-17","10"
"리처드 세라","2021-04-18","10"
"리처드 세라","2021-04-19","30"
"리처드 세라","2021-04-20","50"
"리처드 세라","2021-04-21","20"
"리처드 세라","2021-04-22","20"
"리처드 세라","2021-04-23","0"
"리처드 세라","2021-04-24","10"
"리처드 세라","2021-04-25","0"
"리처드 세라","2021-04-26","20"
"리처드 세라","2021-04-27","10"
"리처드 세라","2021-04-28","10"
"리처드 세라","2021-04-29","10"
"리처드 세라","2021-04-30","0"
"리처드 세라","2021-05-01","0"
"리처드 세라","2021-05-02","10"
"리처드 세라","2021-05-03","30"
"리처드 세라","2021-05-04","0"
"리처드 세라","2021-05-05","20"
"리처드 세라","2021-05-06","20"
"리처드 세라","2021-05-07","10"
"리처드 세라","2021-05-08","20"
"리처드 세라","2021-05-09","10"
"리처드 세라","2021-05-10","0"
"리처드 세라","2021-05-11","0"
"리처드 세라","2021-05-12","0"
"리처드 세라","2021-05-13","20"
"리처드 세라","2021-05-14","20"
"리처드 세라","2021-05-15","20"
"리처드 세라","2021-05-16","0"
"리처드 세라","2021-05-17","20"
"리처드 세라","2021-05-18","0"
"리처드 세라","2021-05-19","0"
"리처드 세라","2021-05-20","20"
"리처드 세라","2021-05-21","0"
"리처드 세라","2021-05-22","0"
"리처드 세라","2021-05-23","0"
"리처드 세라","2021-05-24","20"
"리처드 세라","2021-05-25","30"
"리처드 세라","2021-05-26","20"
"리처드 세라","2021-05-27","30"
"리처드 세라","2021-05-28","30"
"리처드 세라","2021-05-29","20"
"리처드 세라","2021-05-30","40"
"리처드 세라","2021-05-31","80"
"리처드 세라","2021-06-01","30"
"리처드 세라","2021-06-02","20"
"리처드 세라","2021-06-03","30"
"리처드 세라","2021-06-04","20"
"리처드 세라","2021-06-05","30"
"리처드 세라","2021-06-06","60"
"리처드 세라","2021-06-07","20"
"리처드 세라","2021-06-08","40"
"리처드 세라","2021-06-09","40"
"리처드 세라","2021-06-10","40"
"리처드 세라","2021-06-11","10"
"리처드 세라","2021-06-12","10"
"리처드 세라","2021-06-13","10"
"리처드 세라","2021-06-14","20"
"리처드 세라","2021-06-15","20"
"리처드 세라","2021-06-16","10"
"리처드 세라","2021-06-17","20"
"리처드 세라","2021-06-18","10"
"리처드 세라","2021-06-19","0"
"리처드 세라","2021-06-20","10"
"리처드 세라","2021-06-21","0"
"리처드 세라","2021-06-22","10"
"리처드 세라","2021-06-23","10"
"리처드 세라","2021-06-24","10"
"리처드 세라","2021-06-25","0"
"리처드 세라","2021-06-26","0"
"리처드 세라","2021-06-27","0"
"리처드 세라","2021-06-28","10"
"리처드 세라","2021-06-29","0"
"리처드 세라","2021-06-30","0"
"리처드 세라","2021-07-01","0"
"리처드 세라","2021-07-02","0"
"리처드 세라","2021-07-03","10"
"리처드 세라","2021-07-04","0"
"리처드 세라","2021-07-05","0"
"리처드 세라","2021-07-06","0"
"리처드 세라","2021-07-07","0"
"리처드 세라","2021-07-08","0"
"리처드 세라","2021-07-09","0"
"리처드 세라","2021-07-10","10"
"리처드 세라","2021-07-11","0"
"리처드 세라","2021-07-12","20"
"리처드 세라","2021-07-13","0"
"리처드 세라","2021-07-14","0"
"리처드 세라","2021-07-15","0"
"리처드 세라","2021-07-16","0"
"리처드 세라","2021-07-17","0"
"리처드 세라","2021-07-18","0"
"리처드 세라","2021-07-19","0"
"리처드 세라","2021-07-20","10"
"리처드 세라","2021-07-21","10"
"리처드 세라","2021-07-22","0"
"리처드 세라","2021-07-23","0"
"리처드 세라","2021-07-24","0"
"리처드 세라","2021-07-25","0"
"리처드 세라","2021-07-26","0"
"리처드 세라","2021-07-27","0"
"리처드 세라","2021-07-28","0"
"리처드 세라","2021-07-29","0"
"리처드 세라","2021-07-30","10"
"리처드 세라","2021-07-31","0"
"리처드 세라","2021-08-01","10"
"리처드 세라","2021-08-02","10"
"리처드 세라","2021-08-03","0"
"리처드 세라","2021-08-04","0"
"리처드 세라","2021-08-05","0"
"리처드 세라","2021-08-06","10"
"리처드 세라","2021-08-07","0"
"리처드 세라","2021-08-08","0"
"리처드 세라","2021-08-09","0"
"리처드 세라","2021-08-10","0"
"리처드 세라","2021-08-11","0"
"리처드 세라","2021-08-12","10"
"리처드 세라","2021-08-13","0"
"리처드 세라","2021-08-14","0"
"리처드 세라","2021-08-15","0"
"리처드 세라","2021-08-16","0"
"리처드 세라","2021-08-17","0"
"리처드 세라","2021-08-18","10"
"리처드 세라","2021-08-19","0"
"리처드 세라","2021-08-20","10"
"리처드 세라","2021-08-21","0"
"리처드 세라","2021-08-22","0"
"리처드 세라","2021-08-23","0"
"리처드 세라","2021-08-24","10"
"리처드 세라","2021-08-25","10"
"리처드 세라","2021-08-26","10"
"리처드 세라","2021-08-27","0"
"리처드 세라","2021-08-28","0"
"리처드 세라","2021-08-29","0"
"리처드 세라","2021-08-30","0"
"리처드 세라","2021-08-31","10"
"리처드 세라","2021-09-01","10"
"리처드 세라","2021-09-02","10"
"리처드 세라","2021-09-03","0"
"리처드 세라","2021-09-04","10"
"리처드 세라","2021-09-05","10"
"리처드 세라","2021-09-06","20"
"리처드 세라","2021-09-07","10"
"리처드 세라","2021-09-08","30"
"리처드 세라","2021-09-09","10"
"리처드 세라","2021-09-10","10"
"리처드 세라","2021-09-11","10"
"리처드 세라","2021-09-12","20"
"리처드 세라","2021-09-13","30"
"리처드 세라","2021-09-14","0"
"리처드 세라","2021-09-15","20"
"리처드 세라","2021-09-16","10"
"리처드 세라","2021-09-17","20"
"리처드 세라","2021-09-18","0"
"리처드 세라","2021-09-19","10"
"리처드 세라","2021-09-20","0"
"리처드 세라","2021-09-21","10"
"리처드 세라","2021-09-22","20"
"리처드 세라","2021-09-23","10"
"리처드 세라","2021-09-24","20"
"리처드 세라","2021-09-25","10"
"리처드 세라","2021-09-26","0"
"리처드 세라","2021-09-27","20"
"리처드 세라","2021-09-28","20"
"리처드 세라","2021-09-29","20"
"리처드 세라","2021-09-30","0"
"리처드 세라","2021-10-01","10"
"리처드 세라","2021-10-02","10"
"리처드 세라","2021-10-03","20"
"리처드 세라","2021-10-04","30"
"리처드 세라","2021-10-05","20"
"리처드 세라","2021-10-06","10"
"리처드 세라","2021-10-07","10"
"리처드 세라","2021-10-08","20"
"리처드 세라","2021-10-09","10"
"리처드 세라","2021-10-10","30"
"리처드 세라","2021-10-11","30"
"리처드 세라","2021-10-12","40"
"리처드 세라","2021-10-13","20"
